5/1,1.6,1.2
5/2,1.4666666666666666,0.9333333333333333
5/3,1.4666666666666666,0.9333333333333333
5/4,1.4666666666666666,0.9333333333333333
5/5,1.2,0.5333333333333333
5/6,0.9333333333333333,-0.13333333333333333
5/7,1.5333333333333334,1.1333333333333333
5/8,1.4666666666666666,1.0666666666666667
5/9,1.2666666666666666,0.6
5/10,1.1333333333333333,0.3333333333333333
5/11,1.2,0.4
5/12,1.8666666666666667,1.7333333333333334
5/13,1.4666666666666666,1.0666666666666667
5/14,1.0666666666666667,0.26666666666666666
5/15,1.2,0.4
5/16,1.2666666666666666,0.6
5/17,1.4,0.8666666666666667
5/18,1.1333333333333333,0.3333333333333333
5/19,1.6,1.3333333333333333
5/20,1.3333333333333333,0.6666666666666666
5/21,1.4,0.8666666666666667
5/22,1.3333333333333333,0.8
5/23,1.4666666666666666,0.9333333333333333
5/24,1.3333333333333333,0.6666666666666666
5/25,1.3333333333333333,0.6666666666666666
5/26,1.8666666666666667,1.7333333333333334
5/27,1.2666666666666666,0.6
5/28,1.5333333333333334,1.1333333333333333
5/29,1.3333333333333333,0.8333333333333334
