微博正文,发布时间
实时播报：特朗普表示，计划对国际航班制定病毒测试要求。,2020-04-28 23:55
#凤凰新闻#【胡锡进：中国人沉住气，有美国那帮精英哭的时候】来源：环球网特朗普政府向中国大搞甩锅战略，带动了西方舆论对中国的攻击，严重恶化了中国的国际舆论环境。但是请大家沉住气，中国抗疫搞得就是好，美国和欧洲死了那么多人...O胡锡进：中国人沉住气，有美国那帮精英哭的时候来自@凤凰新闻客户端,2020-04-28 23:54
美国企业离开中国：中国稀土份额宣告上涨，特朗普必须慎重决定！俄媒27日消息，俄罗斯专家透露中国稀土份额上涨。据悉，根据中国海关总署统计数据，中国3月稀土出口同比增长19.2％。尽管经济受疫情影响，但中国依然是贵重原材料可靠供应商。专家指出，中国稀土供应不太可能出现任何问题。这意味着中国稀土份额一直可以占据比较高的比例，显然特朗普于美国企业撤出中国就要慎重了。这显而易见，美国企业在中国可以减少不少稀土的成本。稀土对于美国和企业非常重要，许多美国的高科技企业都需要用到稀土，比如苹果公司，比如高通公司，一旦这些公司的稀土需求无法得到满足，势必会极大地影响美国的企业的正常营业，而这些在中国的美国企业，正因为在中国所以，“免去稀土运输的中间环节”，也没有中间所谓的关税，这显然非常有利于美国企业，但是如果特朗普让美国企业搬出中国只会让美国受苦。意思是，正如这次俄罗斯专家提到中国3月稀土份额宣告上涨，这意味着即使是疫情如此严重，中国稀土的供应和份额依旧能得到保障，而稀土又是美国企业生产不得不需要用到的，一旦这些企业搬出中国，多了中间环节，包括运输乃至可能存在的关税，少则提高稀土原材料成本，多则甚至稀土需求无法得到满足，这显然对美国企业非常不利，可见，特朗普必须慎重决定：别的不说，光是美国企业需要大量中国稀土，美国企业就不能轻易搬出中国。唐戈的肥唐说,2020-04-28 23:54
可结果是，那么很遗憾你选错了人！这世上没有救世主……便不枉此生；反而是自己搞得就有那股气场。避免心碎最好的办法。救她于滥爱的水火……人生如烟花；就是假装自己没有心。如果一段感情没有把你变成更好的人！#特朗普称注射消毒液的说法只是讽刺#,2020-04-28 23:53
刚刚！全球确诊超300万！美国超100万，失业大军已逾2600万！特朗普：不会对注射消毒液报道负责O刚刚！全球确诊超300万！美国超100万，失业大军已逾2600万！特朗普：不会对注射消毒液报道负责,2020-04-28 23:53
人肯信？当跟着老奶奶走到自己位于村子最后面那片山脚下的树林中的家的时候，乐静和刘娟等人都留下了眼泪。这都什么年代#智杰菊颂##特朗普称注射消毒液的说法只是讽刺#,2020-04-28 23:53
【对话特朗普】川普：没人比我更懂数据！原来估计全国死220万，现在才死不到10万，我老特太棒了！本博：我原来估计全美死绝了，就剩你老特一人。现在才死这么一丢丢，老特你才是真正的抗疫英雄！川普：你说得对！没有人比我更懂新冠病毒了！回家和伊万卡她小妈、巴伦他娘整二两消毒液就汉堡。#美国新冠病毒感染病例超100万##耿爽反问美方到底谁在散布虚假消息##美国误服消毒剂咨询电话大幅上升##特朗普称注射消毒液的说法只是讽刺##特朗普称不会推迟美国大选#L快乐微博维克多的微博视频,2020-04-28 23:53
#凤凰新闻#分享凤凰新闻：特朗普：美国情况令人鼓舞，中国本可以阻止病毒传播O特朗普：美国情况令人鼓舞，中国本可以阻止病毒传播来自@凤凰新闻客户端,2020-04-28 23:52
【#特朗普称注射消毒剂若致死不负责#：之前说的可注射，是为“挖苦和讽刺”媒体】4月27日，美国总统特朗普在白宫记者会被问及如果有人因使用消毒剂抗疫死亡，是否会负责时表示，不会对此负责，并称“无法想象”。他此前称可通过注射消毒剂杀死病毒。但是这一言论立即遭到了学界和公众反对。特朗普24日称，这种说法只是为了“挖苦和讽刺”媒体。#纽约州取消6月23日总统初选#O注射消毒剂若致死，特朗普：我不负责L七环视频的微博视频,2020-04-28 23:52
特朗普首次公开表态“追责中国”，最后惨的还是美国人民特朗普总统星期一在记者会上扬言，有很多办法可以让中国承担责任，美国正在进行认真调查。O网页链接,2020-04-28 23:51
美国总统特朗普周一（27日）表示，中国本来可以在新型冠状病毒蔓延至全球之前遏止疫情。他称，相信病毒可以从源头停止，如果能迅速地遏止，就不会蔓延至全世界。特朗普又说「对中国不满意」，有很多方法可以令中国负责，美国正就此展开严正调查，不排除会向中国索偿。疫情泛滥，特朗普也需要找个背锅侠。虽然只是过过嘴炮，也总算有个抱怨对象。,2020-04-28 23:51
因限制使用特朗普推荐神药，美国新冠疫苗负责人遭降职#中国第四个新冠疫苗获临床批件#L娱乐耿的微博视频,2020-04-28 23:50
特朗普攻击佩洛西疫情早期“在唐人街跳舞”有美媒说特朗普“撒谎”O特朗普攻击佩洛西疫情早期“在唐人街跳舞”有美媒说特朗普“撒谎”,2020-04-28 23:50
美国总统特朗普被起诉，与新冠疫情有关|🔥热度790📷雷达视频的优酷视频L美国总统特朗普被起诉，与新冠疫情有关,2020-04-28 23:50
我正在看【大局已定！美媒：下届美国总统已基本没有悬念，特朗普这下安心了-新闻头条】，分享给你，一起看吧！大局已定！美媒：下届美国总统已基本没有悬念，特朗普这下安心了-新闻头条O网页链接,2020-04-28 23:49
美国公民直到现在仍有每天1000人以上失去生命，美国联邦政府是破坏人们反思问题、对错误做法进行修正的最大力量。美国政府对“中国责任论”的宣扬继续升级。特朗普总统星期一在记者会上扬言，有很多办法可以让中国承担责任，美国正在进行认真调查。这是特朗普第一次公开做出这样的表态，他还在回应德国《图片报》要求中国赔偿1490亿欧元时模模糊糊地说，美国说的钱数会比这个数字多得多，但还没有敲定最后数额。可以预见，...O网页链接他们的唯一目标是主导大选前美国舆论场的话语焦点，最大化地煽动对中国的愤怒，确保美国政府自身责任的话题被最大化稀释，其他都不重要。我们的主流媒体、外交应向世界公开发声！用事实说话！美国政客们的丑陋嘴脸无耻言论只能是在睁眼说瞎话，执政水平低劣，对本国人民极度不负责！！！,2020-04-28 23:49
造谣全凭一张嘴，有些垃圾特别爱往女人身上泼脏水。小女孩被判给了父亲，生母在疫情期间探视不方便，孩子以前跟爷爷生活好好的，到了爸爸这里就被往死里打，伤成这样了，还要怪生母没看好孩子。有这瞎编的好文采，你怎么不去跟特朗普一决高下啊？#黑龙江于传龙曲婷婷虐打儿童#,2020-04-28 23:48
崔娃崔娃每日脱口秀#崔娃脱口秀##海外综艺安利##纽约市长再度喊话特朗普##美国疫情#大V粉丝红包节4.28崔娃居家隔离秀，连线亚特兰大市长KeishaLanceBottoms，英文字幕。🐼随着佐治亚州准备全面复工，Keisha非常忧心，并尽力呼吁延迟复工。但是作为市长，如何在州权与市权之间斡旋，在民生与疫情控制之间调节，真的好难。🐼崔娃节目时间拉长，每天学习英语的时间也被迫拉长，真是痛并快乐着哈哈哈哈哈LTrevorNoahChina的微博视频,2020-04-28 23:47
特朗普刚“示好”，就被俄罗斯当头泼凉水！>>O网页链接特朗普刚“示好”，就被俄罗斯当头泼凉水！,2020-04-28 23:47
权威期刊《柳叶刀》发文：特朗普停止资助世卫组织是反人类罪行！O权威期刊《柳叶刀》发文：特朗普停止资助世卫组织是反人类罪行！,2020-04-28 23:47
真希望科学家们能实事求是的给出新冠源头，哪怕结论就是中国！《英媒报道：中美科学家联手追查新冠起源》参考消息网4月28日报道英媒称，尽管特朗普政府批评中国未能与外界合作以遏制新冠肺炎，但美国科学家正在与中国合作调查新冠病毒的来源。O网页链接,2020-04-28 23:46
看了皮特模仿福奇博士憝特朗普，风趣，最后结尾的时候用自己的声音感谢福奇博士，和抗战一线的医务人员。温柔，大爱，理智。看到最下方他的照片，居家，内敛，踏实的胸膛可以让你依靠。对，说的就是娃他爸!孩子都挺好，就是不知道老公，你现在好不好，请一定要好。,2020-04-28 23:46
"特朗普称正在调查疫情蔓延经过批评中国初期应对,赞美国应对完美【共同社华盛顿4月28日电】美国总统特朗普在27日的记者会上称，“正在认真调查”新型冠状病毒疫情从中国蔓延至全球的经过。他还认为中国在疫情初期的应对工作存在问题，批评称“我们对中国感到不满”。　　特朗普指出：“（新冠）本来应该能在源头被封堵，不会扩散至全球。”他或许把中国在信息公开方面的消极态度视为问题。　　特朗普还强调他不认为中国公布的感染者人数和死亡人数是准确的。但他仅表示“有很多办法”让中国负起责任，调查结果“将在适当的时候公布”。　　美国怀疑新冠病毒的源头是中国湖北省武汉市的研究所，正在对此展开调查。（完）",2020-04-28 23:46
"我分享了【特朗普准备发灾难财?意大利、德国开棺验尸后,得出一个意外的结果】,快来看吧！|O网页链接",2020-04-28 23:46
记者质问特朗普：短短6周死亡人数超过越战，还能理所当然连任？L记者质问特朗普：短短6周死亡人数超过越战，还能理所当然连任？,2020-04-28 23:45
崔娃崔娃每日脱口秀精选#崔娃脱口秀#大V粉丝红包节威虎堂#重启2020的正确打开方式##海外综艺安利##美国疫情##纽约市长再度喊话特朗普##比尔盖茨谈中国负责论#🐼崔娃中国成名作，《中美5G竞赛》英文字幕。🐼5G竞赛美国眼瞅着要输了怎么办？第一，川普下令限制进口，制裁华为；第二，国内运营商配合表演“假装有5G”。LTrevorNoahChina的微博视频,2020-04-28 23:45
国外网友恶搞，特朗普消毒液治新冠学说>>O网页链接国外网友恶搞，特朗普消毒液治新冠学说,2020-04-28 23:44
#特朗普预计美疫情死亡人数将低于预期#我怎么觉得美国人很愚昧，选这么个总统。,2020-04-28 23:43
美众议院对特朗普政府启动调查！@QQ浏览器O网页链接,2020-04-28 23:43
【O美国出现第一起喝消毒剂死亡病例特朗普说不负责!】美国出现第一起喝消毒剂死亡的案例。因为听信特朗普的话，一对退休夫妇服用了家里的鱼缸消毒清洁剂，导致丈夫不治身亡，妻子仍在ICU抢救。就此番特朗普的“嘲讽”及媒体的报道，你认为谁应该为误服消毒剂事件负责呢？#全球疫情##美国疫情#,2020-04-28 23:43
的确如此，美国第一！确诊超101万死超5.6万，特朗普：我们比世界任何国家做得更好虽然美国确诊就已经超过101万，确诊数占全球三分之一，特朗普周二仍夸耀了美国的抗疫能力。他28日发推称，“我们比世界上任何其他国家都做得更多，做得更好。”此前，特朗普政府一名高级卫生官员周一说，美国下个月将轻松地进行800万次检测，特朗普随后于第二天跟进继续夸耀。28日，特朗普发推称，“我们比世界上任何其他国家都做得更多，做得更好，但媒体除了抱怨什么也不做。不管我们工作做得多么好，就像使用呼吸机一...O网页链接,2020-04-28 23:42
《東網》東方日報龍吟虎嘯-柳扶風評論員美總統成了賣藥佬04月28日(二)執筆本文時，美國新冠肺炎確診人數超過九十萬，死亡人數逾五萬。面對特朗普領導抗疫取得如此「偉大的成績」——不，應該說是巨大的災難，特朗普還是支起他那張破嘴繼續胡說八道，一忽兒狂吠中國，一忽兒狂吠世衞，一忽兒狂吠競選政敵，一忽兒狂吠各州州長，一忽兒胡亂估疫情死亡人數，一忽兒狂促開工，一忽兒又扮晒醫藥專家，甚麼「紅斑狼瘡藥療法」、「瘧疾藥療法」、「注射消毒劑療法」、「光熱療法」，層出不窮。一時間老美總統成了世界上最大的賣藥佬，「雷」倒全美醫護界，讓人再次想起特朗普剛當選總統時，全美二十七位權威的精神病專家刊登廣告，告知全世界美國產生了有精神健康問題的總統，大家要特別小心也。果然，特朗普的瘋狂表現在一切內政外交事務上，表現在一切他喜歡的和憎惡的事務上，表現在一切他的真假朋友和真假對手上；其主要表現就是信口開河，貓一陣、狗一陣的胡說八道，只是許多人都估不到，特朗普的興奮點竟是在推銷五花八門的藥療上。美國的醫藥不是有最嚴格的監管嗎？沒有專業資格和執照者不是不可以亂開處方嗎？然而，對一位不太正常的假扮醫務者卻可以例外，他可以亂開處方，信不信由你。對於總統大人亂開的處方，據報道，不少美國人是很信的，相關藥品一時間很是搶手。當然，他們也為特朗普信口開河的不負責任以及自己的信之不疑的愚蠢付出了代價——不少人延誤了治療，不知在五萬多名病死者中，如此不幸者佔了多少？他們的家人是否可以向特朗普提出訴訟、要求賠償？當然，老美大概是沒有這樣的法律的，盲信者只能自認倒楣也。老美最叻的是把自家的法律強加在他國他人身上，而對自家總統的對內對外濫權、胡作非為視若無睹，且相信這樣的總統才能讓「美國偉大」、「美國優先」。美國人的愚蠢、無知、自以為是，造就了一位戕害他們生命安全和健康的總統，遂使老美的「制度最優」成了笑話和禍根。,2020-04-28 23:42
"焦点坊谈【佩洛西：特朗普“注射消毒剂”论医学用语叫“尸体防腐”】26日，美国众议院议长南希·佩洛西在接受媒体采访中称，美国要做好准备才能开放国家。而特朗普的""注射消毒剂""论，在医学用语里叫""尸体防腐""。#跟新浪看热点#LAmor蓝色妖姬的微博视频",2020-04-28 23:41
【金正恩“消失”或为躲避疫情】据路透社4月28日报道，周二28日韩国统一部长官金炼铁在国会外交统一委员会全会中表示，自掌权以来，金正恩史无前例地缺席他的祖父，朝鲜开国领袖金日成4月15日的诞辰纪念活动，可能是为了躲避疫情。金炼铁强调，“尚未发现朝鲜内部有任何异常动向；对于外界有关他健康危机的报道，应该持谨慎态度”。金炼铁指出，今年1月中以来，金正恩至少已有2次近20天没有在公众视野中出现。疫情当下，朝鲜很多纪念活动被取消；尽管朝鲜新冠病毒确诊人数为零，但是国家还是采取了严格的防疫措施，比如，关闭边境以及取消诸多活动。如此一来，金正恩避公众躲瘟疫不足为奇。27日美国智库方面有消息透露，金正恩完全有可能藏起来躲避疫情。对于金正恩目前的身体状态，27日特朗普在记者会表示，知情但拒透细节。此外，特朗普还向金送“好运”，对媒体说“不久的将来”获得金的消息。#近距离看全球#L欧洲时报的微博视频,2020-04-28 23:41
美国旧金山，以为亚裔去遛狗，被一个白人种族歧视，路人都看不惯。如果有人威胁我，我无法阻止我的狗来保护我。#美国新冠病毒感染病例超100万##耿爽反问美方到底谁在散布虚假消息##美国误服消毒剂咨询电话大幅上升##特朗普称注射消毒液的说法只是讽刺##特朗普称不会推迟美国大选#L快乐微博维克多的微博视频,2020-04-28 23:41
【快讯】特朗普表示德桑提斯州长将很快开放佛罗里达州的部分地区。#财经#,2020-04-28 23:40
虽然美国确诊就已经超过101万，确诊数占全球三分之一，特朗普周二仍夸耀了美国的抗疫能力。他28日发推称，“我们比世界上任何其他国家都做得更多，做得更好。”此前，特朗普政府一名高级卫生官员周一说，美国下个月将轻松地进行800万次检测，特朗普随后于第二天跟进继续夸耀。28日，特朗普发推称，“我们比世界上任何其他国家都做得更多，做得更好，但媒体除了抱怨什么也不做。不管我们工作做得多么好，就像使用呼吸机一...O网页链接,2020-04-28 23:40
#腾讯新闻#美确诊人数破100万大关！州长揭露病毒源头，特朗普慌了O美确诊人数破100万大关！州长揭露病毒源头，特朗普慌了来自@腾讯新闻,2020-04-28 23:40
改革，只有中国需要吗？西方世界已经很久没实质性的改革了。什么叫做西方的改革？举个例子，美国医保改革，奥巴马使了九牛二虎之力，好不容易通过了，终于改了一下。不过几年，到特朗普，被废除了。这就是西方的改革。,2020-04-28 23:40
特朗普力排众议修建的边境墙在这一关键时刻终于起到了作用：严防美国人偷渡，阻止其将病毒带入墨西哥L剪遍巴尔坦的微博视频,2020-04-28 23:40
新浪财经全球市场7*24小时直播特朗普：佛罗里达州的部分地区将迅速重启。O网页链接,2020-04-28 23:39
#蓬佩奥#大家不觉得和特朗普是绝配嘛？辣眼睛，坦荡荡的无耻，颠覆西方的“普世价值观”啊。遮羞布都不要了的感觉，让人……替他捉急,2020-04-28 23:39
"邀请您回答问题""整天美国人要死亡220万挂嘴边，为什么美国人生命在特朗普这里根本不值钱？""@@中国政府网@新浪新闻@央视新闻@新浪军事@参考消息@CCTV4@人民日报@环球时报@凤凰网@洪琳@宋忠平@赵立坚个人微博@邱毅台湾@邱震海@胡锡进@酒巷诗行长@开心每一天5865@关山月x@非主食_@文汇报@解放军报@今日台湾@早报网@工人日报@中国日报@检察官张聪@乡村教师代言人-马云@俄罗斯驻华大使馆@伊朗驻华大使馆@法国驻华大使馆O整天美国人要死亡220万挂嘴边，为什么美国人生命在特朗普这里根本不值钱？",2020-04-28 23:39
王子发特朗普的推图被删，发小猫咪玩手办图也被删，太TM南了,2020-04-28 23:39
我提出了问题“整天美国人要死亡220万挂嘴边，为什么美国人生命在特朗普这里根本不值钱？”。O整天美国人要死亡220万挂嘴边，为什么美国人生命在特朗普这里根本不值钱？,2020-04-28 23:39
【环球时报评论】近日，美国媒体披露了一份让特朗普很不高兴的文件。这份文件是一份备忘录，来自特朗普所属的美国这个让特朗普很不高兴的文件，同样值得中国人留意O网页链接,2020-04-28 23:39
特朗普：佛罗里达州的部分地区将迅速重启。,2020-04-28 23:38
#美国新冠病毒感染病例破100万#美国至少十个州已开始重启商业活动，疫情最严重的纽约州计划局部维持限制措施。总统特朗普估计，美国染病死亡人数最终可能达到七万，又要求部分州长考虑复课。#美国疫情#L无心简影的微博视频,2020-04-28 23:38
刚刚刷到一则新闻，特朗普已被取消初选资格，据报道称，这在纽约是头一次。特朗普，这位喜欢甩锅的美国总统，抗疫不力，导致美国确诊新冠病毒肺炎已突破100万，为了今年11月的总统选举，还屡屡口出狂言，洋相百出。疫情大规模蔓延下，不是全力抗疫而是要复工复经济，总统的位置、经济比美国民众的命更重要！,2020-04-28 23:37
自美国爆发疫情以来，美国总统特朗普花式怼记者和媒体的场面频频发生。特朗普刚刚又在推特上吐槽媒体只会抱怨：“我们正在做的（新冠病毒）测试比世界上任何其他国家都多得多，也做得更好，但媒体除了抱怨什么都不做。不管做得多好，（供给）呼吸机也是一样，他们永远不会说我们做得很好，他们只会恶毒地抱怨！”,2020-04-28 23:37
我分享了L特朗普搞笑时刻大合集第一波，笑死我了，不愧为世界网红,2020-04-28 23:36
#全球疫情##美国疫情#重要美时观察：特朗普，心态彻底崩了！『特朗普，心态彻底崩了！』O特朗普，心态彻底崩了！,2020-04-28 23:36
重新现身发布会，特朗普又和媒体怼起来！美媒：他六成时间都在和记者对骂，声称不会为消毒剂言论后果负责当地时间27日，已连续停开两天的白宫疫情简报会重开。前两日在推特上说“新冠疫情每日简报会根本不值得他花时间”的特朗普再次现身回怼记者。《华盛顿邮报》数据分析指出，在特朗普主持白宫新冠肺炎例会期间，60%的时间都是在和记者对骂。果不其然，今天的简报会又成了特朗普的“秀场”。否认连连：不为使用消毒剂人数激增负责，不会推迟总统选举上周，特朗普在简报会上曾提出向患者体内注入强光或消毒剂治疗新冠肺炎的建议，...O网页链接,2020-04-28 23:36
美众议院对特朗普政府启动调查！O网页链接,2020-04-28 23:35
这两天的微博仿佛特朗普入驻了很烦,2020-04-28 23:35
#腾讯新闻#环球网:【昨晚，特朗普连发推怼媒体：假新闻，人民公敌！】北京时间4月27日晚9时41分，特朗普在推特上发文说：“在我们国家历史上，从来没有比现在更恶毒、更敌对的‘残废媒体’（LamestreamMedia），即使在国家紧急状态下，（它们）就是看不见的敌人！”7分钟后，特朗普又更新了一条推特，说道：“假新闻，人民公敌！”截至发稿，尚无从得知特朗普是出于何种原因发表上述推特。不过，据媒体此前报O腾讯新闻·热推来自@腾讯新闻,2020-04-28 23:35
《特朗普首次公开表态“追责中国”，最后惨的还是美国人民》特朗普总统星期一在记者会上扬言，有很多办法可以让中国承担责任，美国正在进行认真调查。O网页链接美国民众都是文盲都是傻子吗？这样的总统还维护它不就是要把你们美国搞亡国吗？醒醒吧！美利坚的子民们别在特朗普政府忽悠了！,2020-04-28 23:35
《特朗普首次公开表态“追责中国”，最后惨的还是美国人民》特朗普总统星期一在记者会上扬言，有很多办法可以让中国承担责任，美国正在进行认真调查。O网页链接,2020-04-28 23:34
【#美众议院调查特朗普政府暂停缴纳世卫会费#】当地时间27日，美国国会众议院外交委员会主席恩格尔表示，启动对特朗普政府暂停缴纳世卫组织会费的调查。恩格尔在致美国国务卿蓬佩奥的信中说，“暂停缴纳会费的决定是置生命于风险中”。恩格尔要求美国国务院在5月4日傍晚前提供有关此决定的记录。L央视新闻的微博视频,2020-04-28 23:33
市场消息：特朗普将与佛罗里达州州长于当地时间11:30（北京时间23:30）举行新闻发布会。微博财经7X24小时频道,2020-04-28 23:32
#腾讯新闻#美国新冠死亡人数超越战，总统值得连任吗？特朗普：我们表现很好O美国新冠死亡人数超越战，总统值得连任吗？特朗普：我们表现很好L美国新冠死亡人数超越战，总统值得连任吗？特朗普：我们表现很好来自@腾讯新闻,2020-04-28 23:32
感觉经过这次疫情，中美关系吃怕是要彻底拉爆的节奏。美国特朗普政府也是最后遮羞布都不要了，各种无赖流氓行为，不顾脸皮。,2020-04-28 23:32
特朗普简介L用户7198043279的微博视频,2020-04-28 23:31
#特朗普回应英国首相病情恶化##英国首相病情恶化转入ICU#特朗普是实用主义者，追求落袋为安的短期收益，所以在能感受到的时间段来看他似乎取得了不错的斩获。但是，这种行为是牺牲长期利益为前提的，美国逐渐丧失了自由世界精神家园的地位，一个斤斤计较于你来我往能算的见的收益的国家，不会成为一个伟大国家的样板。他一边儿在消耗着奥巴马之前几代人积累起来的影响力和感召力，一边儿又在指责这种长期价值的无用性。所以，特朗普的外交，注定以收获少量的美元，丢掉崇高的美国价值而在美国史上留下一笔。O特朗普在记者会上向英国首相送祝愿，这么多年来特朗普的外交政策你看懂了吗？谈谈你对特朗普外交的看法？,2020-04-28 23:31
我正在读:美国总统大选：挑战特朗普！拜登可选奥巴马夫人作女副总统！O网页链接,2020-04-28 23:31
爱德华希尔@环球网#美媒记者称不在乎被特朗普骂#【被特朗普骂了之后为何不直接离场？当事记者：骂不骂的，谁在乎】#特朗普甩锅#“CNN是假新闻”“你个三流记者”“你太丢脸了”…….自美国暴发疫情以来，美国总统特朗普“花式怼记者”的场面在记者会现场频频发生。当地时间4月26日，曾被特朗普称为“三流记者”的美国广播公司(ABC)记者乔纳森·卡尔接受了CNN连线采访。当被问及被特朗普“骂”了之后为什么不退场（离开)时，卡尔表示自己并不在意，“骂不骂的无关紧要，谁在乎呢，谁在乎总统在白宫记者会现场对记者发起人身攻击这事儿呢，我们在那儿是为了得到事实真相并向那些掌管这个国家的人提出问题”。@环视频L环视频的秒拍视频,2020-04-28 23:30
#蓬佩奥##特朗普#病毒中，蓬佩奥和特朗普更配哦,2020-04-28 23:30
『特朗普团队毁了美国，还想拉中国陪葬（中英双语）』O特朗普团队毁了美国，还想拉中国陪葬（中英双语）,2020-04-28 23:30
美国突破百万大关，特朗普却公然甩锅今日，美国疫情已经突破了百万大关，面对如此严峻的情况，身为总统的特朗普却公然甩锅给上一任总统奥巴马，说是上一任总统给他留下的烂摊子，然而，在奥巴马执政期间，做了很多有关医疗发展的事，反观特朗普，在他执政期间削减了许多医疗部门的开支，并删减了不少的防疫部门，而这一切也导致了如今这种严峻的局面的形成。,2020-04-28 23:30
